宝贝收到咯??，真的很棒呀！?质量真是没话说，非常满意！?开心开心?快递小哥服务态度很好，物流也很快，好评妥妥哒！！,2022-03-18
一次买齐了全部口味儿，放在冰箱里慢慢吃，全部都是肉粽，还是咸肉粽好吃，真的香，赶上活动买，很划算。,2019-07-01
在京东充值给了购物券，选了五芳斋美味猪肉粽，粽子真不错，糯米软糯 ，味道很好，吃起来很方便，蒸煮微波炉都可以，全家都喜欢，包装袋挺好看的，独立小包装便于保存，京东物流也很快，第二天就收到了，还送货上门 愿意在京东购物。,2020-06-11
已经买了好多次了，家人已经吃上瘾了，里面好大一块肉，份量也很足，香香的！几乎是无限回购了！家里生活用品几乎都在京东自营店购买，品质有保证，到货快，服务一流。,2022-01-29
包装很好，没有破损，味道不错，鲜香软糯，味道渗透到每一粒米饭当中，咬下去，满口都是香，让人回味无穷，依然还是小时候吃过当中的味道。,2022-03-28
一袋六只，收到货后拆开先蒸了六个，第一次尝试是从高速服务区开始，味道鲜美，热乎乎的吃味道更好，京东快递速度很是快，五芳斋产品里面肉粽本人很是喜欢，很满意的一次购物！,2022-02-28
仅仅只有猪肉、香菇两味食材坐镇，就足以把全局上下圈了粉。制作烧肉粽的糯米必须是预先浸过卤汁、葱头油，再在锅里炒得又干又松的，吃起来糯米除了寻常粽叶的清香，还带着肉脯类的肉香，咸鲜而不腻，相当入味，软糯度和干湿度都恰到好处，空口吃也很落胃。,2020-09-07
五芳斋大肉粽，一包2个，大个头，大肉块，真香。糯米很软糯肉香十足，肉汁完全浸透在糯米里面，隔水蒸20分钟以上，非常的入味。糯米里的肉块是一块风干肉，很劲道，超有嚼劲，有瘦有肥。真空包装，不用冷冻，在锅里加热也方便。,2020-07-01
在京东自营商城购买的五芳斋鲜肉粽，口感香糯，猪肉很新鲜，很适合小孩子当早餐食用。京东快递也很快，第一天下单，第二天早上就给我送过来了！,2022-03-30
买了好几种，五芳斋的最硬，稻香村的最小，知味观的最软，味道都不错,2019-06-26
