龙猫,1988,9.2,1232410人评价
末代皇帝,1987,9.3,850113人评价
寻梦环游记,2017,9.1,1622282人评价
活着,1994,9.3,818582人评价
蝙蝠侠：黑暗骑士,2008,9.2,1028983人评价
哈利·波特与魔法石,2001,9.2,1149361人评价
指环王3：王者无敌,2003,9.3,781423人评价
乱世佳人,1939,9.3,672328人评价
素媛,2013,9.3,668085人评价
我不是药神,2018,9.0,2045794人评价
飞屋环游记,2009,9.1,1290654人评价
何以为家,2018,9.1,1017490人评价
十二怒汉,1957,9.4,473753人评价
摔跤吧！爸爸,2016,9.0,1532487人评价
哈尔的移动城堡,2004,9.1,991090人评价
鬼子来了,2000,9.3,609466人评价
少年派的奇幻漂流,2012,9.1,1320320人评价
猫鼠游戏,2002,9.1,986696人评价
让子弹飞,2010,9.0,1653534人评价
海蒂和爷爷,2015,9.3,579718人评价
钢琴家,2002,9.3,614205人评价
大话西游之月光宝盒,1995,9.0,1190983人评价
天空之城,1986,9.2,798312人评价
指环王2：双塔奇兵,2002,9.2,731862人评价
闻香识女人,1992,9.1,855479人评价
